Name,Rating,Link,Address,Timing,,
 Fresh & All Supermarket ,12 Ratings,https://www.justdial.com/Chandigarh/Fresh-All-Supermarket-Behind-Hotel-The-Cove-Panchkula-Sector-5/0172PX172-X172-220525152445-H3E5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,SCO-54 Panchkula Sector 5,None,7942608609,
 Gupta Stores ,160 Ratings,https://www.justdial.com/Chandigarh/Gupta-Stores-Main-Market-Panchkula-Sector-4/0172PX172-X172-151218124144-P5E8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,SCF 42 Panchkula Sector 4,6:00 AM,7947075938,
 Sivasakthi Mini Mart ,7 Ratings,https://www.justdial.com/Chennai/Sivasakthi-Mini-Mart-Near-Ragavendra-Temple-Tirumullaivayal/044PXX44-XX44-201204124619-X2Y5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Nagar Main Road Tirumullaivayal,7:00 AM,7947247280,
 J K Supermarkets ,886 Ratings,https://www.justdial.com/Chennai/J-K-Supermarkets-Near-Tiruvottiyur-Vadivudiamman-Koil-Tiruvottiyur/044P1236580577H2W2U9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sannathi Street Tiruvottiyur,None,7947175682,
 Kk Supermarket ,13 Ratings,https://www.justdial.com/Chennai/Kk-Supermarket-Sithalapakkam/044PXX44-XX44-210705100715-L7Q1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road Sithalapakkam,7:00 AM,7947271475,
 New Jayalakshmi Store ,21 Ratings,https://www.justdial.com/Chennai/New-Jayalakshmi-Store-Opposite-bus-depo-T-Nagar/044P9023122_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,South Usman Road T Nagar,None,8045774497,
 Jeevan Family Mini Mart ,7 Ratings,https://www.justdial.com/Coimbatore/Jeevan-Family-Mini-Mart-Near-Ashok-Indane-Gas-Sundarapuram/0422PX422-X422-201015125900-U6N1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Saradha Mill Road Sundarapuram,9:00 AM,7947444092,
 Sree Nesha ,6 Ratings,https://www.justdial.com/Coimbatore/Sree-Nesha-Opp-Alof-Hotel-Uppilipalayam/0422PX422-X422-210616112325-G9H1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kamarajar Road Uppilipalayam,None,7947311518,
 Sree Dorai Singh Supermarket ,9 Ratings,https://www.justdial.com/Coimbatore/Sree-Dorai-Singh-Supermarket-Gandhipuram-Coimbatore/0422PX422-X422-200709123209-C1K9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Gandhipuram Coimbatore,8:00 AM,7947263150,
 Agrimmaa Pazhamudhir Nilayam ,13 Ratings,https://www.justdial.com/Coimbatore/Agrimmaa-Pazhamudhir-Nilayam-Near-Annamaya-Hotel-Telungapalayam/0422PX422-X422-201029110536-P2M6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Perur Main Road Telungapalayam,None,7947450700,
 Dorais Singh Stores ,424 Ratings,https://www.justdial.com/Coimbatore/Dorais-Singh-Stores-Gandhipuram-Coimbatore/0422P422STDF002948_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Cut Road Gandhipuram Coimbatore,9:00 AM,7947260111,
 Kala Stores ,75 Ratings,https://www.justdial.com/Coimbatore/Kala-Stores-Near-Kalyan-Jewellers-Gandhipuram-Coimbatore/0422PX422-X422-000069827548-Z7B7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Feet Road Gandhipuram Coimbatore,None,7947260194,
 Durais Super Market ,70 Ratings,https://www.justdial.com/Coimbatore/Durais-Super-Market-Opposite-to-Hotel-Vijay-Paradise-Saibaba-Colony/0422PX422-X422-120209232418-G5A9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Nsr Road Saibaba Colony,7:00 AM,7947262408,
 Darling Showroom ,2,053 Ratings,https://www.justdial.com/Cuddalore/Darling-Showroom-Semmandalam/9999P4142-4142-220316204846-R1B7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Semmandalam,9:30 AM,7947283989
 365 Mart ,11 Ratings,https://www.justdial.com/Dehradun/365-Mart-Near-Chillz-Restorent/9999PX135-X135-221126130506-U6B3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Old Nehru Colony Road,9:00 AM,7942766754,
 Anand General Stores ,228 Ratings,https://www.justdial.com/Delhi/Anand-General-Stores-Near-Lok-Nayak-Bhawan-Khan-Market/011PD000671_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,63 A Khan Market,11:00 AM,7947210606,
 BR Khoda Bazar ,5 Ratings,https://www.justdial.com/Delhi/BR-Khoda-Bazar-Near-By-Kalu-Cement-Agency-Khora-Colony-Noida/011PXX11-XX11-220902133027-I5C2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Cement Agency Khora Colony Noida,None,7947222595,
 Bg Supermart ,15 Ratings,https://www.justdial.com/Delhi/Bg-Supermart-Nr-Skin-InstituteJamrudpur-Zamrudpur-Greater-Kailash-1/011P1239002019F3I6B6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Zamrudpur-Greater Kailash 1,7:00 AM,7947220542,
 Health Way Departmental Store ,38 Ratings,https://www.justdial.com/Delhi/Health-Way-Departmental-Store-Opposite-Ajanta-Apartments-Dda-Market-Indraprastha-Extension/011PXX11-XX11-110917125323-N1V3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Indraprastha Extension,1 Year in Business,7947213775,
 Gupta Departmental Store ,63 Ratings,https://www.justdial.com/Delhi/Gupta-Departmental-Store-Near-Jain-Mandir-Yamuna-Vihar/011P1230060022V8S2T5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,C-6/6 Yamuna Vihar,8:00 AM,7947209956,
 A One Drug Store ,30 Ratings,https://www.justdial.com/Delhi/A-One-Drug-Store-Near-Khirki-Extension-Khirki-Malviya-Nagar/011PXX11-XX11-161017111448-B3A7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Khirki-Malviya Nagar,None,7947276032,
 Sewa Gift Palace Private Limited ,946 Ratings,https://www.justdial.com/Delhi/Sewa-Gift-Palace-Private-Limited-Rani-Bagh-Market-Pitam-Pura/011PXX11-XX11-120430142648-J6I2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Rani Bagh Market Pitam Pura,7:00 AM,7947217599,
 Modern Bazaar ,1,603 Ratings,https://www.justdial.com/Delhi/Modern-Bazaar-Punjabi-Bagh/011PXX11-XX11-140303122440-E2Q9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Club Road Punjabi Bagh,None,7947466885
 D Mart ,8,872 Ratings,https://www.justdial.com/Delhi/D-Mart-Chaudhary-More/011PXX11-XX11-161208124853-R2F1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,G T Road Chaudhary More,8:00 AM,7947466885
